Year,Education,Company,Cooperation
2012,16.815872614684697,18.80851063829787,26.73913043478261
2013,16.45927404265935,29.925925925925927,42.18852459016394
2014,16.829301407059987,75.18072289156626,57.061797752808985
2015,21.46816959139234,294.03333333333336,207.86
2016,20.31556177630742,235.62727272727273,155.78629032258064
2017,28.124769433465087,106.10843373493977,186.65871121718376
2018,23.715985008962033,156.6243093922652,74.59226713532513
2019,15.899629273650968,37.19021739130435,42.99888017917133
2020,5.184809150494795,20.83164983164983,11.957396449704142
2021,1.1873111782477341,0.9420289855072463,5.319502074688796
